Date,Open,High,Low,Close,Volume,Year,Month,DayOfWeek,Quarter,WeekOfYear,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,ATR_14,Volume_SMA_20,Volume_Ratio
2019-10-31,11890.4501953125,11945.0,11855.099609375,11877.4501953125,1414800,2019,10,3,4,44,0.2815797488827432,0.0028118405572833054,11482.569921875,11227.13599609375,11313.614765625,11634.700683802152,11479.380044671952,68.89668912607827,155.3206391301992,120.90491467675479,34.41572445344441,11901.729325723612,11482.569921875,11063.410518026387,0.07300794276899432,0.9710383088293049,152.18361245251768,810890.0,1.7447495961227786
2019-11-01,11886.599609375,11918.2998046875,11843.349609375,11890.599609375,855300,2019,11,4,4,44,0.11070906504571099,0.0011064782775295006,11503.377392578124,11244.35998046875,11319.105263671874,11674.069749274899,11509.840753168475,69.27300669797398,164.22899610642344,129.5697309626885,34.65926514373493,11958.621570652771,11503.377392578124,11048.133214503478,0.07914965536440909,0.9252906851379685,146.66693979965927,815815.0,1.0483994533074288
2019-11-04,11928.900390625,11989.150390625,11905.349609375,11941.2998046875,823100,2019,11,0,4,45,0.42638888683566023,0.004254824252091804,11532.44736328125,11262.22998046875,11325.450512695312,11715.182065492221,11541.800682910625,70.74283959782038,173.38138258159597,138.33206128647,35.049321295125964,12020.40749143906,11532.44736328125,11044.487235123439,0.08462386391833046,0.9189404193225638,143.23007133182645,791700.0,1.03966148793735
2019-11-05,11974.599609375,11978.9501953125,11861.900390625,11917.2001953125,632000,2019,11,1,4,45,-0.2018173043904281,-0.002020212299297299,11562.607373046874,11279.4959765625,11331.399765625,11746.261777772263,11569.608054199653,69.05197414112313,176.65372357261003,145.996393743698,30.657329828912026,12067.116719007725,11562.607373046874,11058.098027086024,0.08726567108676403,0.8514234425036219,141.36005228580314,772425.0,0.8182024144738972
2019-11-06,11911.5,12002.900390625,11850.25,11966.0498046875,603400,2019,11,2,4,45,0.4099084396871566,0.004090706038353768,11602.17236328125,11298.47697265625,11337.371015625,11780.075320374606,11598.974109791345,70.58661698038227,181.1012105832615,153.0173571116107,28.083853471650798,12102.906441527497,11602.17236328125,11101.438285035003,0.08631729689363668,0.8633439955601596,142.16650502431722,756170.0,0.7979687107396485
2019-11-07,12021.099609375,12021.400390625,11946.849609375,12012.0498046875,563000,2019,11,3,4,45,0.3844209304726398,0.003836839214212366,11646.454833984375,11320.34396484375,11343.420512695313,11815.763702576589,11629.572309413283,71.99490917278965,186.1913931633062,159.6521643219498,26.53922884135639,12127.30717896413,11646.454833984375,11165.60248900462,0.08257488683622896,0.8801530496004099,137.33681046900884,747660.0,0.753016076826365
2019-11-08,11987.150390625,12034.150390625,11888.75,11908.150390625,789300,2019,11,4,4,45,-0.8649599006986697,-0.008687223905779385,11676.19736328125,11343.67998046875,11348.685512695312,11829.97703919942,11650.207722836372,64.48481780907403,179.76931636304835,163.67559473016954,16.09372163287881,12144.362893452533,11676.19736328125,11208.031833109966,0.08019143829198164,0.7477254436682766,137.91278048015107,750070.0,1.0523017851667178
2019-11-11,11879.2001953125,11932.650390625,11853.9501953125,11913.4501953125,549000,2019,11,0,4,46,0.04450569159482054,0.0004449579074941643,11710.1423828125,11365.3619921875,11354.144765625,11842.819063216817,11669.70716524201,64.68716976600524,173.1118979748062,165.56285537909687,7.549042595709324,12142.365906345936,11710.1423828125,11277.918859279065,0.07382037030870425,0.7351882780904125,133.68331011103314,749420.0,0.7325665181073363
2019-11-13,11908.2998046875,11946.7998046875,11823.2001953125,11840.4501953125,659000,2019,11,2,4,46,-0.6127528029514329,-0.006146378372844679,11736.91240234375,11381.01400390625,11359.372265625,11842.454622000769,11682.354797099084,59.64609588149068,160.09982490168477,164.47024928361446,-4.370424381929695,12130.01119952095,11736.91240234375,11343.813605166551,0.06698504405616951,0.631694365019994,132.96304577274506,745480.0,0.8839942050759242
2019-11-14,11858.75,11895.650390625,11802.650390625,11872.099609375,559500,2019,11,3,4,46,0.2672990768123773,0.0026694246816312177,11763.45986328125,11396.34900390625,11365.044765625,11847.015389289112,11696.40996837878,61.06285656768442,150.6054209103313,161.69728360895783,-11.091862698626528,12115.649011067346,11763.45986328125,11411.270715495155,0.059878496952317097,0.6542349427525983,130.10854250326327,744075.0,0.7519403285959076
